name,taxonomy/kingdom,taxonomy/phylum,taxonomy/class,taxonomy/order,taxonomy/family,taxonomy/genus,taxonomy/scientific_name,locations/0,characteristics/prey,characteristics/name_of_young,characteristics/group_behavior,characteristics/estimated_population_size,characteristics/biggest_threat,characteristics/most_distinctive_feature,characteristics/other_name(s),characteristics/gestation_period,characteristics/habitat,characteristics/diet,characteristics/average_litter_size,characteristics/lifestyle,characteristics/common_name,characteristics/number_of_species,characteristics/location,characteristics/slogan,characteristics/group,characteristics/color,characteristics/skin_type,characteristics/top_speed,characteristics/lifespan,characteristics/weight,characteristics/length,characteristics/age_of_sexual_maturity,characteristics/age_of_weaning,characteristics/litter_size,characteristics/predators,characteristics/type,characteristics/height,characteristics/distinctive_feature,characteristics/temperament,characteristics/training,locations/1,locations/2,locations/3,characteristics/wingspan,characteristics/incubation_period,characteristics/age_of_fledgling,characteristics/average_clutch_size,characteristics/venomous,characteristics/aggression,characteristics/main_prey,characteristics/water_type,characteristics/age_of_independence,characteristics/average_spawn_size,characteristics/nesting_location,characteristics/age_of_molting,characteristics/favorite_food,characteristics/origin,locations/4,characteristics/migratory,characteristics/optimum_ph_level,locations/5,locations/6,locations/7,characteristics/special_features,locations/8,locations/9
Spider,Animalia,,,,,,,Africa,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,Asia,Central-America,Eurasia,,,,,,,,,,,,,,,Europe,,,North-America,Oceania,South-America,,,
Spider Ball Python,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,Python regius,Africa,,,,,,,,,,Carnivore,,,Ball python,,,,,Black,,,20-50 years,,3-4.5 feet,,,1-11 eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spider Monkey,Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles,Simia Paniscus,Central-America,,,,,,,,,Tropical jungle and rainforest,Omnivore,1,Troop,,,,Found in the tropical jungles of South America!,,BrownGreyBlackWhite,Hair,35 mph,15-27 years,6.4-12kg (14-26lbs),,,,,"Human, Eagles, Jaguar",Mammal,,,,,South-America,,,,,,,,,"Fruit, Nuts, Leaves",,,,,,Fruit,,,,,,,,,,
Spider Wasp,Animalia,Arthropoda,Insecta,Hymenoptera,Pompilidae,,,Africa,Spiders,,,,,,,,"Loose soil, rocks, or rotted wood.",Carnivore,,,,,,,,YellowBlueBlackOrange,Exoskeleton,,,10 to 19 mg,,,,,"mammals, birds, reptiles, and amphibians",,,,,,Asia,Central-America,Eurasia,,,,,,,,,,,,,,,Europe,,,North-America,Oceania,South-America,,,
Spider-Tailed Horned Viper,Animalia,Chordata,Reptilia,Squamata,Viperidae,Pseudocerastes,Pseudocerastes urarachnoides,Asia,"Prefers birds but will also eat lizards, rodents, and arthropods",,,,,,,,,Carnivore,,,Iranian Spider Viper,,,,,GreyTan,Scales,,,Approx. 1 pound,About 20 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinner Shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus brevipinna,Ocean,,,Group,Uncertain,"Human exploitation, habitat loss",Jumping and spinning,"Blacktip shark, longnose gray whaler",11 to 15 months,Tropical and warm temperate waters,Carnivore,,,Spinner shark,,,,,GreyBlackLight-Brown,Tough,,15 to 20 years,120 to 200 pounds,6 to 9 feet,,,,Humans,,,,,,,,,,,,,,,,Salt,,,,,"Small bony fish ponds, streams, ocean, etc",,,,,,,,,,
Spinone Italiano,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,,,,,,,,BrownWhiteOrange,Hair,,12 – 14 years,81 lbs,,,,,,,,,"Good-natured, hard-working, and playful",,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiny Dogfish,Animalia,Chordata,Chondrichthyes,Squaliformes,Squalidae,Squalus,Squalus acanthias,Ocean,"Octopuses, crabs, squid, smaller sharks, jellyfish, shrimp, and sea cucumber",,Pack,"Biomass of 106.8 thousand metric tons in the Atlantic Ocean; 44,660,000 fish in the Pacific Ocean",Overfishing,,"Dogfish Shark, Spiky Dog, Piked Dogfish, Rock Salmon, Spring Dogfish, White-Spotted Dogfish Predators: Sharks, Seals, Orcas, Tuna, American Anglerfish, Humans",,Oceans and seas,Carnivore,,,Spiny Dogfish,2,,Found in ocean waters worldwide!,,BrownGreyBlackWhite,Smooth,,"Average of 20 to 24 years, but can live up to 50 years",8 pounds,Maximum length of 39 inches (male); maximum length of 49 inches (female),,,,"Sharks, Whales, Humans",,,,,,,,,,,,6,,,"Fish, Squid, Crustaceans",Salt,,,,,"Octopuses, crabs, squid, smaller sharks, jellyfish, shrimp, and sea cucumber",,,,6.5-8.5,,,,,,
Spiny Hill Turtle,Animalia,Chordata,Reptilia,Testudines,Geoemydidae,Heosemys,Heosemys spinosa,Asia,,Hatchling,Solitary,Unknown,Habitat destruction,Spiked shell,Cogwheel turtle,100 - 145 days,"Forest, rainforest, mountains, hills",Omnivore,,,Spiny turtle,1,Indo-Malaysia,,,BrownRedOrangeBeige,Scales,3 mph,20 years,1.5 - 2kg (3 - 4.5lbs),175 - 220mm (.6 - .75ft),,,01-Mar,humans,Reptile,90 - 110 mm (.3 - .4ft),,,,,,,,,,,,,,,,,,,"Leaves, fruit, vegetation",,,,,,,,,,
Spitting Cobra,Animalia,Chordata,Reptilia,Squamata,Elapidae,,,Africa,"Small mammals, amphibians, reptiles, insects, eggs, birds. Some species scavenge.",,Solitary,,,,,,,Carnivore,2 to 23 eggs,,"Spitting cobra, ulupong",,Africa and Asia,,,BrownGreyYellowRedBlueBlackGreenPink,Scales,,20 year lifespan in captivity,,2.29 to 8.9 feet,two or three years,,,,,,,,,Asia,,,,,,,,,,,,,,,,,,,,,,,,,
Spixs Macaw,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cyanopsitta,Cyanopsitta spixii,Extinct in the Wild,,,Flocks,At least 160,Habitat Loss,Luxurious Blue Plumage,,,Desert Woodlands,Omnivore,,Diurnal,Spix's Macaw,,Brazil,One of earth's rarest animals!,Birds,,Feathers,,20 to 40 years,360g (12.7oz),56cm (22in),,,,"Rats, feral cats, mongooses, and monkeys",,,,,,,,,,26 days,,,,,,,,,,,,,,,,,,,,,
Sponge,Animalia,Porifera,Demospongiae,,,,Demospongiae,Ocean,,,Colony,unknown,"Climate change, habitat destruction",Surface pores,,,"oceans, seas, lakes",Omnivore,"1,000s",Sedentary,Sponge,,Worldwide,"There are more than 9,000 known species!",,BrownYellowRedBlueGreenOrange,Porous,,15-30 years,20lbs,0.25m - 2m (0.8f - 6ft),,,,,Metazoa,,,,,,,,,,,,,,"Plankton, Mollusks, Crustaceans",,,,,,,,,,,,,,,,
Spotted Gar,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus,Lepisosteus oculatus,Central-America,,,Solitary,Unknown,Water pollution,"Long, cylindrical body",Gar,10-14 days,6.0-8.0,Carnivore,,,Spotted gar,1,,,,BlackDull Olive,Scales,,216 months,10lbs,39in - 59in,,,,Other types of gars,Lepisosteidae,,,,,North-America,,,,,,,,,"Minnows, mosquito larvae, blue crabs, larger fish",Fresh,,,,,,,,,6.0-8.0,,,,,,
Spotted Lanternfly,Animalia,Arthropoda,Insecta,Hemiptera,Fulgoridae,Lycorma,Lycorma delicatula,Asia,,Nymphs,Solitary,,Humans,The pink or tan colored wings,Lanternmoth,5 – 8 months,Trees,Herbivore,,,Spotted Lanternfly,,"Native to China, Vietnam, Taiwan, and India",,,YellowRedBlackWhiteTanPink,Exoskeleton,,1 year,Less than 1 gram,Up to 4cm (1.5in),2 - 4 months after hatching,,20 - 60 eggs,Wasps and other insects,Insect,,,,,North-America,,,,,,,,,,,,,,,,,,,,,,,,,
Springador,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springbok,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Antidorcas,Antidorcas marsupialis,Africa,,Calves,Herd,Up to 2.5 million,Hunting,The large curved horns on the top of the head,,4-6 months,Savannas and deserts,Herbivore,,,Springbok,1,Southern Africa,,,BrownBlackWhite,Hair,55 mph,7-9 years on average,27-48kg (59-106lbs),1-1.5m (4-4.5ft),200-400 days,4 months,1-2 calves,"Cheetahs, lions, leopards, hyenas, caracals, jackals, wild dogs, and eagles",Mammal,69-87cm (27-34in),,,,,,,,,,,,,,,,,,,"Grasses, leaves, and flowers",,,,,,,,,,
Springerdoodle,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squash Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Epilachna,Epilachna borealis,North-America,,Nymphs,Colony,unknown,Pest control by humans,Shield-like body,"Squash lady beetle, squash ladybugs",10 days,"Under plant debris, near buildings, near rocks, and other sheltered places",Herbivore,,,Squash beetle,1,North America,,,YellowBlack,Exoskeleton,,2-6 months,,3/8 inch,Less than 1 year old,,15-40 eggs,"Tachinid fly, sceleonids, and praying mantises",Insect,,,,,,,,,,,,,,,,,,,,"Leaves, vines, fruit",,,,,,,,,,
Squid,Animalia,Mollusca,Cephalopoda,Teuthida,Oegopsina,,Teuthida,Ocean,,,,,,,,,Cooler and temperate waters,Carnivore,5,Solitary,,,,Some species are known to have 10 arms!,,BrownGreyBlackWhite,Smooth,18 mph,5-30 years,"0.3-500kg (0.6-1,102lbs)",,,,,"Human, Seal, Whales",Cephalopod,,,,,,,,,,,,,,"Fish, Crabs, Shrimp",,,,,,Fish,,,,,,,,,,
Squirrel,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,,,Africa,,,,,,,,,Woodland and dense forests,Omnivore,3,Solitary,,,,Small rodents found in woodlands worldwide!,,BrownGreyRedBlackTan,Fur,16 mph,2-8 years,"250-1,000g (0.5-2.2lbs)",,,,,"Snakes, Coyote, Weasels",Mammal,,,,,Asia,Central-America,Eurasia,,,,,,,"Fruit, Seeds, Insects",,,,,,Fruit,,Europe,,,North-America,South-America,,,,
Squirrel Monkey,Animalia,Chordata,Mammalia,Primates,Cebidae,Saimiri,Saimiri,Central-America,"Fruit, Insects, Flowers",Infant,Troop,Not Known,Habitat loss,Longer tail than body used for balance,Deaths Head Monkey,170 days,"Dense, tropical jungle close to a stream",Omnivore,1,Diurnal,Squirrel Monkey,5,Central and South America,Lives in groups of up to 500 individuals!,Mammal,GreyYellowBlackOlive,Fur,22 mph,15 - 20 years,0.75kg -1.1k g (1.7lbs - 2.4lbs),,3 - 5 years,4 months,,"Birds of Prey, Snakes, Humans",,25cm - 36cm (9.8in - 14in),,,,South-America,,,,,,,,,,,,,,,,,,,,,,,,,
Squirrelfish,Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,Holocentrus,Holocentrus adscensionis,Ocean,"Meroplankton, shrimp",Fry,Social,,Habitat loss,Large protuberant eyes,"Soldierfish, striped squirrelfish",48-72 hours,Tropical and subtropical reefs,Carnivore,,Social,Squirrelfish,70,Atlantic Ocean,,School,RedSilver,Scales,,2-4 years,,6-10 inches,5 inches,,"500-1,000",Larger fish and sea birds,Fish,1-2 inches,,,,,,,,,,,,,,Salt,,,,,,,,,8.1-8.4,,,,,,
Sri Lankan Elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Elephas Maximus Maximus,Asia,,,,,,,,,Rainforest and tropical woodland,Herbivore,1,Herd,,,,Now restricted to a few parks!,,BrownGreyBlack,Leather,27 mph,55 - 70 years,"3,000kg - 5,000kg (6,500lbs - 11,000lbs)",,,,,"Human, Tiger",Mammal,2m - 3m (7ft - 10ft),Long trunk and large feet,,,,,,,,,,,,"Grass, Fruit, Roots",,,,,,Grass,,,,,,,,,,
Stabyhoun,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,"Stabij, Stabijhoun, Fryske Stabij, Beike, Dutch Stabyhoun, Stabij, Frisian Pointer",,,Omnivore,,,Stabyhoun,,,,,BlackWhiteOrangeChocolate,Hair,,12 to 15 years,55lbs,,,,,,,,,"Gentle, sensitive, and active",,,,,,,,,,,,,,,,,,,,,,,,,,,
Staffordshire Bull Terrier,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Europe,,,,,,,,,,Omnivore,,,Staffordshire Bull Terrier,,,Known for their loyalty to their family!,Mastiff,,Hair,,14 years,17kg (38lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stag Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,,,Europe,"Rotting wood, fruits, and sap",Larvae,Solitary,,Habitat loss,The massive mandibles of the male,,A few days,"Loose soil of deserts, forests, grasslands, and more",Herbivore,100,,Stag Beetle,1200,"Europe, North America",,,BrownRedBlackGreen,Exoskeleton,,3-7 years,Up to 0.5 grams,1cm – 12.3cm (0.5in - 5in),,,30 eggs,"Mammals, bird, reptiles, amphibians, and insects",Insect,,,,,North-America,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Schnauzer,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,,,,,,,,BlackWhite,Hair,,13-16,30-50,,,,4-8 pups,,,18-20,bristly eyebrows and a long mustache,"Intelligent, playful, affectionate, loyal",,,,,,,,,,,,,,,,,,,,,,,,,,,
Star-nosed mole,Animalia,Chordata,Mammalia,Eulipotyphla,Talpidae,Condylura,Condylura cristata,North-America,"Worms, mollusks, fish, and insects",Pups,Colony,Unknown,Habitat loss,The star-shaped sensory organ on the nose,,45 days,Marshes and wetlands,Carnivore,,,Star-Nosed Mole,1,United States and Canada,,,BrownBlackPink,Hair,4 mph,3-4 years on average,55g (2oz),15-20cm (6-8in),10 months,1 month,2-7 pups,"Foxes, weasels, minks, domesticated cats and dogs, skunks, owls, and hawks",Mammal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starfish,Animalia,Echinodermata,Asteroidea,,,,Asteroidea,Ocean,Mollusks,,Solitary,unknown,coral reef destruction,"Bumpy, spiny skin",Sea star,4-8 weeks,coral reef,Carnivore,"10,00,000",Solitary,Starfish,2000,,Has 2 stomachs to aid digestion!,,BrownGreyRedBlueOrange,Spiky,0.6 mph,35 years,0.1-6kg (0.2-13lbs),,,,,"Fish, birds, turtles, otters, carbs",Asteroidea,,,,,,,,,,,,,,"Crustaceans, Worms, Sea Urchins",Salt,,,,,Crustaceans,,,,,,,,,,
Stargazer Fish,Animalia,Chordata,Actinopterygii,Trachiniformes,Uranoscopidae,Uranoscopus,Uranoscopus scaber,North-America,"Crustaceans, crabs, small fish",,Solitary,Unknown,Diseases and parasites,Eyes on top of its head,Monkfish,2 months,,Omnivore,,,Stargazer fish,4,,,,WhiteGreenDark Brown,Scales,,Diseases and parasites,Eyes on top of its head,Monkfish,2 months,Aggressive,,,Perciformes,These fish suck prey in like a vacuum or use a tentacle-like appendage,These fish suck prey in like a vacuum or use a tentacle-like appendage,,,Ocean,Oceania,,,,,,Yes,High,,,,,,,,,,,,,,,An organ on their heads helps these fish deter predators and disable prey with shocks,,
Steelhead Salmon,Animalia,Chordata,,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Asia,"Zooplankton, insects, mollusks, crustaceans, fish eggs, minnows, and other small fishes",,Solitary,Unknown,Habitat loss and fishing,"Streamlined, silvery body","steelhead trout, salmon trout",3 to 4 weeks,,Omnivore,,,Steelhead,1,,,,Purple,Skin,,,8 - 55 pounds,16 - 45 inches,Steelhead live in freshwater rivers and streams for 1 to 2 years before migrating into the ocean,Unknown,,"Humans, fish, lampreys, birds, bears, otters and raccoons",Salmonid,,,,,North-America,,,,,,,,,,,,,,,,,,,,,,,,,
Steller’s Sea Cow,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Hydrodamalis,Hydrodamalis Gigas,Ocean,,,,,,,,,Arctic Tundra,Herbivore,1,Herd,,,,Hunted to extinction in 17 years!,,BrownGreyBlack,Smooth,,50 - 80 years,8000kg (8.8tons),8m - 9m (26ft - 30ft),,,,Large sharks and humans,Mammal,,Enormous body size and toothless mouths,,,,,,,,,,,,"Sea Grasses, Algae, Flowers",,,,,,Sea Grasses,,,,,,,,,,
Stick Insect,Animalia,,Insecta,Phasmatodea,,,Phasmatodea,Africa,,,,,,,,,"Forest, jungles and woodland",Herbivore,"1,000",,Stick Insect,3000,Worldwide,"There are more than 3,000 different species!",,BrownGreyTanGreen,Shell,,,,,,,,"Birds, Rodents, Reptiles",,,,,,Asia,Central-America,Eurasia,,,,,,,"Leaves, Plants, Berries",,,,,,Leaves,,Europe,,,North-America,Oceania,South-America,,,
Stiletto Snake,Animalia,Chordata,Reptilia,Squamata,Lamprophiidae,,,Africa,"small mammals, burrowing reptiles, frogs.",,,,,,"Southern stiletto snake, Bibron's stiletto snake, Side-stabbing snake, Bibron's burrowing asp, Bibron's mole viper.",,"fynbos, karoo scrub, semi-desert, savannahs, grasslands, woodlands, and forests",Carnivore,,,,,sub-Sahara Africa,,,BrownBlackWhitePurple,Scales,,12-22 years,,"12-16 inches, though it may reach 21.75 inches",,,2-17 eggs,,,,,,,Asia,,,,,,,,,,,,,,,,,,,,,,,,,
Stingray,Animalia,Chordata,Chondrichthyes,Myliobatiformes,,,,Ocean,"Snails, clams, and squids",,Solitary,Not known,"Sea lions, seals, sharks, and other large fish",,,Three months,Black and Mediterranean Seas,Carnivore,8,Solitary,Stingray,200,,It's stinger is razor-sharp or serrated!,,BrownGrey,Scales,30 mph,15 - 25 years,25kg - 97kg (55lbs - 214lbs),50cm - 200cm (19.6in - 79in),,,,"Sea lions, seals, sharks, and other large fish",Fish,,Flattened body shape and venom filled tail,,,,,,,,,,,,,,,,,,"Snails, clams, and squid",,,,,,,,,,
Stoat,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela Erminea,Asia,,,,,,,,,Moorland and woodlands,Carnivore,8,Solitary,,,,Average adults weigh about 200 grams!,,BrownBlackWhiteTan,Fur,20 mph,4-6 years,200-500g (7-17.6oz),,,,,"Fox, Snake, Wild Cats",Mammal,,,,,Eurasia,Europe,North-America,,,,,,,"Rabbits, Mice, Insects",,,,,,Rabbit,,,,,,,,,,
Stone Crab,Animalia,Arthropoda,Malacostraca,Decapoda,Menippidae,Menippe,,Ocean,"Mollusk, oysters",,,Unknown,,Two uneven but oversized claws,Florida stone crab,Up to two weeks,Waters off the Florida coast,Carnivore,,,,2,,,,BrownGreyRedTan,Exoskeleton,,Males: 7 years Females: 8 years,,Between 5½ to 6 inches at the carapace (the widest part of the crab),,,,"Octopi, sea turtles",,,,,,,,,,,,,,,,Salt,,,,,,,,,,,,,,,
Stork,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,,,Africa,"Insects, amphibians, small mammals, bird eggs, fish, crustaceans.",,,"700,000+",Agricultural changes and industrialization by humans.,"long legs, long neck, and long bill",,,"Open grasslands, light woodlands, marshes, wet meadows, rivers, ponds.",Carnivore,,,Stork,19,"Australia, North America, Africa, Europe, Asia, South America",,,RedBlackWhite,Feathers,16 mph,"22 years in wild, 35 years in captivity",6.2 to 7.3 lbs.,39-45 inches,,,1-7 eggs,"American alligators, though eggs are attacked by small mammals.",Bird,39-49 inches,,,,Asia,Central-America,Eurasia,Up to 10.5+ feet,33-34 days,,1,,,,,,,"Cliff sides, trees, and on tops of homes",11 months,,,Europe,1,,North-America,Oceania,South-America,,,
Striped Hyena,Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Hyaena,Hyaena hyaena,Africa,Small insects and small animals,Cub or pup,Small families,"5,000 to 14,000 worldwide.",Humans and human activities,Stripes on their bodies,,90-92 days,"Deserts, semi-deserts, woodlands, scrub forests, acacia bushlands, grasslands, tropical savannas, and rocky terrains",Omnivore,,,Striped Hyena,,"Africa, West India, the Middle East, and the Arabian Peninsula",,Solitary or in pairs,GreyBlackBeige,Fur,5 mph,24 years in captivity,57 to 90 pounds,1 – 1.15 meters in length. Their tail measures about 12.5 inches,2-3 years old,8 months to 1 year,2 to 4 cubs,"Humans, lions, other big cats",Mammal,1 – 1.15 meters in length. Their tail measures about 12.5 inches,,,,Asia,Europe,,,,,,,,,,,,,,,,,,,,,,,,
Striped Rocket Frog,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,Litoria nasuta,Oceania,,,,,,,,,Woodland swamps and ponds,Carnivore,,Solitary,,,,Long powerful hind legs!,,BrownBlackTanGreen,Permeable,5 mph,10 - 15 years,5g - 8g (0.17oz - 0.28oz),5cm - 5.5cm (1.9in - 2.1in),,,,,Amphibian,,Long legs and streamlined body,,,,,,,,,60,,,"Insects, Moths, Spiders",,,,,,Insects,,,,,,,,,,
Sturgeon,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,,,Ocean,"Shells, crustaceans, small fish",,,,Overexploitation,Elongated body and plates,,8 to 15 days,"Oceans, gulfs and lakes",Carnivore,,,Sturgeon,29,,,,GreyBlackWhiteOlive,Smooth,,50 to 60 years,"200 to 1,800 pounds",Up to 22 feet long,,,,,Fish,,,,,,,,,,,,,,,Salt,,,,,,,,,,,,,,,
Sucker Fish,Animalia,Chordata,Actinopterygii,Cypriniformes,Catostomidae,,,,"Algae, zooplankton, insects, small invertebrates, crustaceans, and plants",,,,Pollution and dams,,,Average of 10 days to eggs hatching,Freshwater streams and lakes,Omnivore,,,,79,"United States, Russia, and China",Commonly found throughout America!,,,Hair,,Bigmouth buffalo can live up to 112 years!,Maximum of 80 pounds (bigmouth buffalo),1 to 3 feet,,,,"Trout, bass, catfish, and walleye",,,,,,,,,,,,,,,,Fresh,,,,,,,,,,,,,,,
Sugar Glider,Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Petaurus,Petaurus breviceps,Asia,"Insects, tree gum, sap",joey,Colony,,Habitat loss,Web membranes,,15 Days,"Forest, woodlands",Omnivore,,,Sugar glider,,"Australia, Indonesia",,,GreyBlackWhite,Fur,,120 months,0.1kg-0.25kg (0.25lbs-0.5lbs),0.15m-0.22m (0.5ft-0.75ft),1 year,3 months,01-Feb,"Owls, cats, snakes",Marsupial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulcata Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Centrochelys,Centrochelys sulcata,Africa,,Hatchling,Solitary,"Unknown, but the animal is listed as vulnerable or endangered","Hunting, poaching, habitat destruction",Its size,African spurred tortoise,About 75 days,"Desert, dry savanna",Herbivore,,,"African spurred tortoise, spurred tortoise, African spur thigh tortoise",1,Southern part of the Sahara Desert,,,BrownYellow,Hard Shell,0.3 mph,More than 70 years,79 to 200 pounds,30 inches,15 years of age,,15 to 30,Humans,Reptile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatran Elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Elephas Maximus Sumatranus,Asia,,,,,,,,,Rainforest and tropical woodland,Herbivore,1,Herd,,,,"Less than 2,000 left in the wild!",,BrownGreyBlack,Leather,27 mph,55 - 70 years,"3,000kg - 5,000kg (6,500lbs - 11,000lbs)",,,,,"Human, Tiger",Mammal,2m - 3m (7ft - 10ft),Long trunk and large feet,,,,,,,,,,,,"Grass, Fruit, Roots",,,,,,Grass,,,,,,,,,,
Sumatran Orang-utan,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,Pongo abelii,Asia,"Fruits, Shoots, Insects",Infant,Solitary,"4,000",Hunting and habitat loss,"Long arms and long, orange hair","Red Ape, Forest Person",9 months,"Dense, tropical forest",Omnivore,1,Diurnal,Sumatran Orang-utan,1,Northern Sumatra,Known to make mental maps of the forest!,Mammal,BrownGreyRedOrange,Hair,2.7 mph,30 - 40 years,30kg - 82kg (66lbs - 180lbs),,12 - 15 years,3 years,,"Sumatran Tiger, Humans",,1.25m - 1.5m (4ft - 5ft),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatran Rhinoceros,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Dicerorhinus,Dicerorhinus Sumatrensis,Asia,,,,,,,,,"Tropical bushland, grassland and savannas",Herbivore,1,Solitary,,,,The smallest species of rhino!,,BrownGreyBlack,Leather,30 mph,30-45 years,"500kg - 800kg (1,100lbs - 1,760lbs)",2m - 2.5m (6.6ft - 8.2ft),,,,"Human, Wild cats",Mammal,,,,,,,,,,,,,,"Grass, Fruit, Berries, Leaves",,,,,,Grass,,,,,,,,,,
Sumatran Tiger,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera Tigris Sumatrae,Asia,,,,,,,,,Dense tropical forest,Carnivore,3,Solitary,,,,The smallest species of tiger!,,BlackWhiteOrange,Fur,60 mph,18 - 25 years,80kg - 150kg (176lbs - 330lbs),,,,,Human,Mammal,,,,,,,,,,,,,,"Deer, Cattle, Wild Boar",,,,,,Deer,,,,,,,,,,
Sun Bear,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Helarctos,Helarctos malayanus,Asia,"Fruits, Honey, Insects",Cub,Solitary,Unknown,Hunting and habitat loss,Yellow or orange U-shaped marking on chest,"Malaysian Sun Bear, Malay Bear, Honey Bear, Dog Bear",3 - 8 months,"Primarily, lowland tropical forests",Omnivore,2,Diurnal/Nocturnal,Sun Bear,2,South-east Asia,The smallest species of bear in the world!,Mammal,BrownGreyYellowRedBlackWhiteOrange,Fur,30 mph,15 - 30 years,30kg - 60kg (66lbs - 132lbs),,3 - 4 years,18 months,,"Tiger, Snakes, Birds of Prey",,1.2m - 1.5m (4ft - 5ft),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgeonfish,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,,,Central-America,,,SolitarySchool,"Though the exact population of surgeonfish is not known, none of these fish appear to be endangered. The overall conservation status is not evaluated.","Climate change, pollution",Scalpel-like spines on the side of the tail that can deliver serious cuts,"Tang, doctorfish",24 hours,,Herbivore,,,Surgeonfish,,Warm seas around the world,,,,Scales,,,1.3 pounds,6 inches to over 6 feet,,,,"Eels, larger fish, rays",Fish,,,,,North-America,Ocean,,,,,,,,,,,,,,Zooplankton,,,,,,,,,,
Swai Fish,Animalia,Chordata,Actinopterygii,Siluriformes,Pangasiidae,Pangasianodon,Pangasianodon hypophthalmus,Asia,"Crustaceans, small fish, and plants",,School,,Fishing,Shark-style dorsal fin,"Tra fish, iridescent shark, pangasius",,Rivers,Omnivore,,,Iridescent shark,1,,,,SilverBeige,Scales,,,50 - 100 lbs,2-4 ft,,,,,Pangasiidae,,,,,,,,,,,,,,,Fresh,,,,,,,,,,,,,,,
Swan,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus atratus,Africa,,,,,,,,,"Large, shallow wetlands and open water",Omnivore,,Flock,,,,Populations have been affected by pollution!,,GreyBlackWhiteOrange,Feathers,50 mph,8 - 12 years,10kg - 15kg (22lbs - 33lbs),91cm - 150cm (36in - 60in),,,,"Human, Wolf, Raccoon",Bird,,"Large, powerful wings and webbed feet",,,Asia,Central-America,Eurasia,200cm - 350cm (79in - 138in),,,5,,,"Aquatic Plants, Insects, Small Fish",,,,,,Aquatic Plants,,Europe,,,North-America,Oceania,South-America,,,
